id,record_name,gene_name,subcell_loc
P05231,IL6_HUMAN,IL6,Secreted<br>
P05305,EDN1_HUMAN,EDN1,Secreted.
P05362,ICAM1_HUMAN,ICAM1,Membrane; Single-pass type I membrane protein.
P05386,RLA1_HUMAN,RPLP1,
P05387,RLA2_HUMAN,RPLP2,
P05388,RLA0_HUMAN,RPLP0,"Nucleus<br> Cytoplasm<br> Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs (PubMed:19188445, PubMed:17289661).<br>"
P05408,7B2_HUMAN,SCG5,Secreted<br> Note=Neuroendocrine and endocrine secretory granules.<br>
P05412,JUN_HUMAN,JUN,Nucleus.
P05413,FABPH_HUMAN,FABP3,Cytoplasm.
P05423,RPC4_HUMAN,POLR3D,Nucleus<br>
P05451,REG1A_HUMAN,REG1A,Secreted.
P05452,TETN_HUMAN,CLEC3B,Secreted.
P05455,LA_HUMAN,SSB,Nucleus<br>
P05496,AT5G1_HUMAN,ATP5MC1,Mitochondrion membrane; Multi-pass membrane protein.
P05538,DQB2_HUMAN,HLA-DQB2,"Cell membrane<br> Endoplasmic reticulum membrane<br> Golgi apparatus, trans-Golgi network membrane<br> Endosome membrane<br> Lysosome membrane<br> Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation."
P05543,THBG_HUMAN,SERPINA7,Secreted.
P05546,HEP2_HUMAN,SERPIND1,
P05549,AP2A_HUMAN,TFAP2A,Nucleus<br>
P05556,ITB1_HUMAN,ITGB1,"Cell membrane<br> Cell projection, invadopodium membrane<br> Cell projection, ruffle membrane<br> Recycling endosome<br> Melanosome<br> Cleavage furrow<br> Cell projection, lamellipodium<br> Cell junction, focal adhesion<br> Note=Highly enriched in stage I melanosomes. Located on plasma membrane of neuroblastoma NMB7 cells. In a lung cancer cell line, in prometaphase and metaphase, localizes diffusely at the membrane and in a few intracellular vesicles. In early telophase, detected mainly on the matrix-facing side of the cells. By mid-telophase, concentrated to the ingressing cleavage furrow, mainly to the basal side of the furrow. In late telophase, concentrated to the extending protrusions formed at the opposite ends of the spreading daughter cells, in vesicles at the base of the lamellipodia formed by the separating daughter cells. Colocalizes with ITGB1BP1 and metastatic suppressor protein NME2 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen. Translocates from peripheral focal adhesions sites to fibrillar adhesions in a ITGB1BP1-dependent manner. Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen- dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner.<br><br>[Isoform 2]:<br> Note=Does not localize to focal adhesions.<br><br>[Isoform 5]:<br> Cell membrane, sarcolemma<br> Cell junction<br> Note=In cardiac muscle, found in costameres and intercalated disks.<br>"
P05771,KPCB_HUMAN,PRKCB,Cytoplasm<br> Nucleus<br> Membrane<br>
P05783,K1C18_HUMAN,KRT18,"Nucleus matrix<br> Cytoplasm, perinuclear region. Nucleus, nucleolus<br> Cytoplasm<br>"
P05787,K2C8_HUMAN,KRT8,"Cytoplasm<br> Nucleus, nucleoplasm<br> Nucleus matrix<br>"
P05813,CRBA1_HUMAN,CRYBA1,
P05814,CASB_HUMAN,CSN2,Secreted.
P05937,CALB1_HUMAN,CALB1,
P05976,MYL1_HUMAN,MYL1,
P05981,HEPS_HUMAN,HPN,Cell membrane<br> Apical cell membrane<br>
P05997,CO5A2_HUMAN,COL5A2,"Secreted, extracellular space, extracellular matrix<br>"
P06028,GLPB_HUMAN,GYPB,Cell membrane; Single-pass type I membrane protein.
P06126,CD1A_HUMAN,CD1A,Cell membrane<br> Membrane raft<br> Endosome membrane<br> Note=Subject to intracellular trafficking between the cell membrane and endosomes (PubMed:11231314). Localizes to cell surface lipid rafts (PubMed:18178838).<br>
P06127,CD5_HUMAN,CD5,Cell membrane; Single-pass type I membrane protein.
P06132,DCUP_HUMAN,UROD,Cytoplasm.
P06133,UD2B4_HUMAN,UGT2B4,Endoplasmic reticulum membrane<br>
P06213,INSR_HUMAN,INSR,"Cell membrane<br> Late endosome<br> Lysosome<br> Note=Binding of insulin to INSR induces internalization and lysosomal degradation of the receptor, a means for down-regulating this signaling pathway after stimulation. In the presence of SORL1, internalized INSR molecules are redirected back to the cell surface, thereby preventing their lysosomal catabolism and strengthening insulin signal reception.<br>"
P06239,LCK_HUMAN,LCK,"Cell membrane<br> Cytoplasm, cytosol<br> Note=Present in lipid rafts in an inactive form.<br>"
P06241,FYN_HUMAN,FYN,Cytoplasm<br> Nucleus<br> Cell membrane<br> Perikaryon<br> Note=Present and active in lipid rafts (PubMed:12218089). Palmitoylation is crucial for proper trafficking (PubMed:8206991).<br>
P06276,CHLE_HUMAN,BCHE,Secreted<br>
P06280,AGAL_HUMAN,GLA,Lysosome.
P06307,CCKN_HUMAN,CCK,Secreted<br>
P06312,KV401_HUMAN,IGKV4-1,Secreted<br> Cell membrane<br>
P06340,DOA_HUMAN,HLA-DOA,Endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=Complexes with HLA-DM molecule during intracellular transport and in endosomal/lysosomal compartments. Heterotetramerization is necessary to exit the ER.
P06396,GELS_HUMAN,GSN,"<br>[Isoform 2]:<br> Cytoplasm, cytoskeleton.<br>[Isoform 1]:<br> Secreted."
P06400,RB_HUMAN,RB1,"Nucleus<br> Note=During keratinocyte differentiation, acetylation by KAT2B/PCAF is required for nuclear localization.<br>"
P06401,PRGR_HUMAN,PGR,"Nucleus. Cytoplasm. Note=Nucleoplasmic shuttling is both hormone- and cell cycle-dependent. On hormone stimulation, retained in the cytoplasm in the G(1) and G(2)/M phases.<br>[Isoform A]:<br> Nucleus. Cytoplasm. Note=Mainly nuclear.<br>[Isoform 4]:<br> Mitochondrion outer membrane<br>"
P06454,PTMA_HUMAN,PTMA,Nucleus.
P06493,CDK1_HUMAN,CDK1,"Nucleus<br> Cytoplasm<br> Mitochondrion<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Cytoplasm, cytoskeleton, spindle. Note=Cytoplasmic during the interphase. Colocalizes with SIRT2 on centrosome during prophase and on splindle fibers during metaphase of the mitotic cell cycle. Reversibly translocated from cytoplasm to nucleus when phosphorylated before G2-M transition when associated with cyclin-B1. Accumulates in mitochondria in G2-arrested cells upon DNA-damage."
P06576,ATPB_HUMAN,ATP5F1B,Mitochondrion inner membrane<br>
P06681,CO2_HUMAN,C2,Secreted.
P06702,S10A9_HUMAN,S100A9,"Secreted. Cytoplasm<br> Cytoplasm, cytoskeleton<br> Cell membrane<br> Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812).<br>"
P06703,S10A6_HUMAN,S100A6,Nucleus envelope. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.
P06727,APOA4_HUMAN,APOA4,Secreted.
P06729,CD2_HUMAN,CD2,Cell membrane<br>
P06730,IF4E_HUMAN,EIF4E,"Cytoplasm, P-body<br> Cytoplasm<br> Cytoplasm, Stress granule<br> Nucleus<br> Nucleus speckle<br> Nucleus, nuclear body<br> Note=Interaction with EIF4ENIF1/4E-T is required for localization to processing bodies (P-bodies) (PubMed:16157702, PubMed:24335285, PubMed:25923732). Imported in the nucleus via interaction with EIF4ENIF1/4E-T via a piggy-back mechanism (PubMed:10856257). Sequestered in the nucleus by EIF4EBP1 and EIF4EBP2 (By similarity).<br>"
P06731,CEAM5_HUMAN,CEACAM5,Cell membrane<br> Apical cell membrane<br> Cell surface<br> Note=Localized to the apical glycocalyx surface.<br>
P06732,KCRM_HUMAN,CKM,Cytoplasm.
P06733,ENOA_HUMAN,ENO1,"Cytoplasm<br> Cell membrane<br> Cytoplasm, myofibril, sarcomere, M line<br> Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. ENO1 is localized to the M line.<br>[Isoform MBP-1]:<br> Nucleus."
P06734,FCER2_HUMAN,FCER2,"Cell membrane; Single-pass type II membrane protein. Cell membrane; Lipid-anchor. Secreted<br> Note=Also exists as a soluble excreted form, sCD23."
P06737,PYGL_HUMAN,PYGL,"Cytoplasm, cytosol<br>"
P06744,G6PI_HUMAN,GPI,Cytoplasm<br> Secreted<br>
P06746,DPOLB_HUMAN,POLB,Nucleus. Cytoplasm. Note=Cytoplasmic in normal conditions. Translocates to the nucleus following DNA damage.
P06748,NPM_HUMAN,NPM1,"Nucleus, nucleolus<br> Nucleus, nucleoplasm<br> Cytoplasm, cytoskeleton, microtubule organizing center, centrosome<br> Note=Generally nucleolar, but is translocated to the nucleoplasm in case of serum starvation or treatment with anticancer drugs. Has been found in the cytoplasm in patients with primary acute myelogenous leukemia (AML), but not with secondary AML. Can shuttle between cytoplasm and nucleus. Co- localizes with the methylated form of RPS10 in the granular component (GC) region of the nucleolus. Colocalized with nucleolin and APEX1 in nucleoli. Isoform 1 of NEK2 is required for its localization to the centrosome during mitosis."
P06753,TPM3_HUMAN,TPM3,"Cytoplasm, cytoskeleton<br>"
P06756,ITAV_HUMAN,ITGAV,"Cell membrane; Single-pass type I membrane protein. Cell junction, focal adhesion<br>"
P06850,CRF_HUMAN,CRH,Secreted<br>
P06858,LIPL_HUMAN,LPL,"Cell membrane<br> Secreted<br> Secreted, extracellular space, extracellular matrix<br> Note=Newly synthesized LPL binds to cell surface heparan proteoglycans and is then released by heparanase. Subsequently, it becomes attached to heparan proteoglycan on endothelial cells (PubMed:27811232). Locates to the plasma membrane of microvilli of hepatocytes with triglyceride-rich lipoproteins (TRL). Some of the bound LPL is then internalized and located inside non- coated endocytic vesicles (By similarity).<br>"
P06865,HEXA_HUMAN,HEXA,Lysosome.
P06870,KLK1_HUMAN,KLK1,
P06881,CALCA_HUMAN,CALCA,Secreted.
P06899,H2B1J_HUMAN,H2BC11,Nucleus. Chromosome.
P07093,GDN_HUMAN,SERPINE2,"Secreted, extracellular space."
P07098,LIPF_HUMAN,LIPF,Secreted<br>
P07099,HYEP_HUMAN,EPHX1,Microsome membrane<br> Endoplasmic reticulum membrane<br>
P07101,TY3H_HUMAN,TH,"Cytoplasm, perinuclear region<br> Nucleus<br> Cell projection, axon<br> Cytoplasm<br> Cytoplasmic vesicle, secretory vesicle, synaptic vesicle<br> Note=When phosphorylated at Ser-19 shows a nuclear distribution and when phosphorylated at Ser-31 as well at Ser-40 shows a cytosolic distribution (By similarity). Expressed in dopaminergic axons and axon terminals.<br>"
P07108,ACBP_HUMAN,DBI,Endoplasmic reticulum<br> Golgi apparatus<br> Note=Golgi localization is dependent on ligand binding (PubMed:17953517).<br>
P07148,FABPL_HUMAN,FABP1,Cytoplasm.
P07195,LDHB_HUMAN,LDHB,Cytoplasm. Mitochondrion inner membrane<br>
P07196,NFL_HUMAN,NEFL,"Cell projection, axon<br> Cytoplasm, cytoskeleton<br>"
P07197,NFM_HUMAN,NEFM,"Cytoplasm, cytoskeleton<br> Cell projection, axon<br>"
P07199,CENPB_HUMAN,CENPB,"Nucleus<br> Chromosome, centromere<br>"
P07202,PERT_HUMAN,TPO,Membrane; Single-pass type I membrane protein.<br>[Isoform 3]:<br> Cell surface.
P07203,GPX1_HUMAN,GPX1,Cytoplasm<br> Mitochondrion<br>
P07204,TRBM_HUMAN,THBD,Membrane; Single-pass type I membrane protein.
P07205,PGK2_HUMAN,PGK2,Cytoplasm<br>
P07225,PROS_HUMAN,PROS1,Secreted.
P07237,PDIA1_HUMAN,P4HB,"Endoplasmic reticulum<br> Endoplasmic reticulum lumen<br> Melanosome<br> Cell membrane<br> Note=Highly abundant. In some cell types, seems to be also secreted or associated with the plasma membrane, where it undergoes constant shedding and replacement from intracellular sources (Probable). Localizes near CD4-enriched regions on lymphoid cell surfaces (PubMed:11181151). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:10636893). Colocalizes with MTTP in the endoplasmic reticulum (PubMed:23475612).<br>"
P07288,KLK3_HUMAN,KLK3,Secreted.
P07305,H10_HUMAN,H1-0,"Nucleus<br> Chromosome<br> Note=The RNA edited version has been localized to nuclear speckles. During mitosis, it appears in the vicinity of condensed chromosomes."
P07306,ASGR1_HUMAN,ASGR1,<br>[Isoform H1a]:<br> Membrane; Single-pass type II membrane protein.<br>[Isoform H1b]:<br> Secreted<br>
P07307,ASGR2_HUMAN,ASGR2,Membrane; Single-pass type II membrane protein.
P07315,CRGC_HUMAN,CRYGC,
P07320,CRGD_HUMAN,CRYGD,
P07327,ADH1A_HUMAN,ADH1A,Cytoplasm.
P07332,FES_HUMAN,FES,"Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle. Golgi apparatus. Cell junction, focal adhesion. Note=Distributed throughout the cytosol when the kinase is not activated. Association with microtubules requires activation of the kinase activity. Shuttles between focal adhesions and cell-cell contacts in epithelial cells. Recruited to the lateral cell membrane in polarized epithelial cells by interaction with phosphorylated EZR. Detected at tubular membrane structures in the cytoplasm and at the cell periphery."
P07333,CSF1R_HUMAN,CSF1R,Cell membrane; Single-pass type I membrane protein.
P07339,CATD_HUMAN,CTSD,"Lysosome. Melanosome. Secreted, extracellular space. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. In aortic samples, detected as an extracellular protein loosely bound to the matrix (PubMed:20551380).<br>"
P07355,ANXA2_HUMAN,ANXA2,"Secreted, extracellular space, extracellular matrix, basement membrane<br> Melanosome<br> Note=In the lamina beneath the plasma membrane. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Translocated from the cytoplasm to the cell surface through a Golgi-independent mechanism."
P07357,CO8A_HUMAN,C8A,Secreted. Cell membrane; Multi-pass membrane protein. Note=Secreted as soluble protein. Inserts into the cell membrane of target cells.
P07358,CO8B_HUMAN,C8B,Secreted.
P07359,GP1BA_HUMAN,GP1BA,Membrane; Single-pass type I membrane protein.
P07360,CO8G_HUMAN,C8G,Secreted.
P07384,CAN1_HUMAN,CAPN1,"Cytoplasm<br> Cell membrane<br> Note=Translocates to the plasma membrane upon Ca(2+) binding. In granular keratinocytes and in lower corneocytes, colocalizes with FLG and FLG2 (PubMed:21531719).<br>"
P07437,TBB5_HUMAN,TUBB,"Cytoplasm, cytoskeleton<br>"
P07438,MT1B_HUMAN,MT1B,
P07451,CAH3_HUMAN,CA3,Cytoplasm<br>
P07476,INVO_HUMAN,IVL,Cytoplasm. Note=Constituent of the scaffolding of the cornified envelope.
P07477,TRY1_HUMAN,PRSS1,"Secreted, extracellular space."
P07478,TRY2_HUMAN,PRSS2,"Secreted, extracellular space."
P07492,GRP_HUMAN,GRP,"Secreted<br> Cytoplasmic vesicle, secretory vesicle lumen<br> Cell projection, neuron projection<br> Note=In neurons of the retrotrapezoid nucleus/parafacial respiratory group, expressed on neuron projections which project into the pre-Botzinger complex.<br>"
P07498,CASK_HUMAN,CSN3,Secreted.
P07510,ACHG_HUMAN,CHRNG,Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.
P07550,ADRB2_HUMAN,ADRB2,Cell membrane<br> Early endosome<br> Golgi apparatus<br> Note=Colocalizes with VHL at the cell membrane (PubMed:19584355). Activated receptors are internalized into endosomes prior to their degradation in lysosomes (PubMed:20559325). Activated receptors are also detected within the Golgi apparatus (PubMed:27481942).<br>
P07585,PGS2_HUMAN,DCN,"Secreted, extracellular space, extracellular matrix. Secreted<br>"
P07602,SAP_HUMAN,PSAP,Lysosome<br><br>[Prosaposin]:<br> Secreted<br> Note=Secreted as a fully glycosylated 70 kDa protein composed of complex glycans.<br>
P07686,HEXB_HUMAN,HEXB,"Lysosome<br> Cytoplasmic vesicle, secretory vesicle, Cortical granule<br>"
P07711,CATL1_HUMAN,CTSL,"Lysosome<br> Apical cell membrane<br> Cytoplasmic vesicle, secretory vesicle, chromaffin granule<br> Secreted, extracellular space<br> Secreted<br> Note=Localizes to the apical membrane of thyroid epithelial cells. Released at extracellular space by activated dendritic cells and macrophages.<br><br>[Isoform 2]:<br> Nucleus<br> Note=Translation initiation at downstream start sites allows the synthesis of isoforms that are devoid of a signal peptide and do not transit through the endoplasmic reticulum to localize to the nucleus (PubMed:15099520). Nuclear location varies during the cell cycle, with higher levels during S phase (PubMed:15099520).<br>"
P07737,PROF1_HUMAN,PFN1,"Cytoplasm, cytoskeleton."
P07738,PMGE_HUMAN,BPGM,
P07741,APT_HUMAN,APRT,Cytoplasm.
P07766,CD3E_HUMAN,CD3E,Cell membrane<br>
P07814,SYEP_HUMAN,EPRS1,"Cytoplasm, cytosol<br> Membrane<br> Note=Translocates from cytosol to membranes upon phosphorylation at Ser-999.<br>"
P07858,CATB_HUMAN,CTSB,"Lysosome<br> Melanosome<br> Secreted, extracellular space<br> Apical cell membrane<br> Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Localizes to the lumen of thyroid follicles and to the apical membrane of thyroid epithelial cells (By similarity).<br>"
P07864,LDHC_HUMAN,LDHC,Cytoplasm.
P07900,HS90A_HUMAN,HSP90AA1,Nucleus<br> Cytoplasm<br> Melanosome<br> Cell membrane<br> Mitochondrion<br> Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.
P07902,GALT_HUMAN,GALT,
P07910,HNRPC_HUMAN,HNRNPC,Nucleus<br> Note=Component of ribonucleosomes.
P07911,UROM_HUMAN,UMOD,"Apical cell membrane<br> Basolateral cell membrane<br> Cell projection, cilium membrane<br> Note=Only a small fraction sorts to the basolateral pole of tubular epithelial cells compared to apical localization (PubMed:22776760). Secreted into urine after cleavage (PubMed:18375198, PubMed:26811476). Colocalizes with NPHP1 and KIF3A (PubMed:20172860).<br><br>[Uromodulin, secreted form]:<br> Secreted<br> Note=Detected in urine.<br>"
P07919,QCR6_HUMAN,UQCRH,Mitochondrion inner membrane<br>
P07942,LAMB1_HUMAN,LAMB1,"Secreted, extracellular space, extracellular matrix, basement membrane. Note=Major component."
P07947,YES_HUMAN,YES1,"Cell membrane. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytosol. Note=Newly synthesized protein initially accumulates in the Golgi region and traffics to the plasma membrane through the exocytic pathway."
P07948,LYN_HUMAN,LYN,"Cell membrane. Nucleus. Cytoplasm. Cytoplasm, perinuclear region. Golgi apparatus. Membrane<br> Note=Accumulates in the nucleus by inhibition of CRM1-mediated nuclear export. Nuclear accumulation is increased by inhibition of its kinase activity. The trafficking from the Golgi apparatus to the plasma membrane occurs in a kinase domain-dependent but kinase activity independent manner and is mediated by exocytic vesicular transport. Detected on plasma membrane lipid rafts."
P07949,RET_HUMAN,RET,"Cell membrane<br> Endosome membrane<br> Note=Predominantly located on the plasma membrane. In the presence of SORL1 and GFRA1, directed to endosomes.<br>"
P07951,TPM2_HUMAN,TPM2,"Cytoplasm, cytoskeleton<br> Note=Associates with F-actin stress fibers.<br>"
P07954,FUMH_HUMAN,FH,"<br>[Isoform Mitochondrial]:<br> Mitochondrion<br><br>[Isoform Cytoplasmic]:<br> Cytoplasm, cytosol<br> Nucleus<br> Chromosome<br> Note=Translocates to the nucleus in response to DNA damage: localizes to DNA double-strand breaks (DSBs) following phosphorylation by PRKDC.<br>"
P07988,PSPB_HUMAN,SFTPB,"Secreted, extracellular space, surface film."
P07992,ERCC1_HUMAN,ERCC1,<br>[Isoform 1]:<br> Nucleus<br><br>[Isoform 2]:<br> Cytoplasm<br> Nucleus<br><br>[Isoform 3]:<br> Nucleus<br><br>[Isoform 4]:<br> Nucleus<br>
P07996,TSP1_HUMAN,THBS1,"Secreted<br> Cell surface<br> Secreted, extracellular space, extracellular matrix<br> Endoplasmic reticulum<br> Sarcoplasmic reticulum<br> Note=Secreted by thrombin-activated platelets and binds to the cell surface in the presence of extracellular Ca(2+) (PubMed:6777381, PubMed:101549). Incorporated into the extracellular matrix (ECM) of fibroblasts (PubMed:6341993). The C- terminal region in trimeric form is required for retention in the ECM (PubMed:18285447). Also detected in the endoplasmic reticulum and sarcoplasmic reticulum where it plays a role in the ER stress response (By similarity).<br>"
P07998,RNAS1_HUMAN,RNASE1,Secreted.
P08034,CXB1_HUMAN,GJB1,"Cell membrane; Multi-pass membrane protein. Cell junction, gap junction."
P08047,SP1_HUMAN,SP1,"Nucleus. Cytoplasm. Note=Nuclear location is governed by glycosylated/phosphorylated states. Insulin promotes nuclear location, while glucagon favors cytoplasmic location."
P08048,ZFY_HUMAN,ZFY,Nucleus.
P08069,IGF1R_HUMAN,IGF1R,Cell membrane<br>
P08100,OPSD_HUMAN,RHO,"Membrane<br> Cell projection, cilium, photoreceptor outer segment<br> Note=Synthesized in the inner segment (IS) of rod photoreceptor cells before vectorial transport to disk membranes in the rod outer segment (OS) photosensory cilia.<br>"
P08118,MSMB_HUMAN,MSMB,Secreted. Note=Sperm surface.
P08123,CO1A2_HUMAN,COL1A2,"Secreted, extracellular space, extracellular matrix<br>"
P08133,ANXA6_HUMAN,ANXA6,Cytoplasm<br> Melanosome<br> Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.
P08134,RHOC_HUMAN,RHOC,Cell membrane<br> Cleavage furrow<br> Note=Translocates to the equatorial region before furrow formation in a ECT2-dependent manner.
P08138,TNR16_HUMAN,NGFR,"Cell membrane<br> Perikaryon<br> Cell projection, growth cone<br> Cell projection, dendritic spine<br>"
P08151,GLI1_HUMAN,GLI1,Cytoplasm<br> Nucleus<br> Note=Tethered in the cytoplasm by binding to SUFU (PubMed:10806483). Activation and translocation to the nucleus is promoted by interaction with STK36 (PubMed:10806483). Phosphorylation by ULK3 may promote nuclear localization (PubMed:19878745). Translocation to the nucleus is promoted by interaction with ZIC1 (PubMed:11238441).<br><br>[Isoform 2]:<br> Cytoplasm<br> Nucleus<br>
P08172,ACM2_HUMAN,CHRM2,Cell membrane<br> Postsynaptic cell membrane<br> Note=Phosphorylation in response to agonist binding promotes receptor internalization.<br>
P08173,ACM4_HUMAN,CHRM4,Cell membrane; Multi-pass membrane protein. Postsynaptic cell membrane; Multi-pass membrane protein.
P08174,DAF_HUMAN,CD55,"<br>[Isoform 1]:<br> Cell membrane; Single-pass type I membrane protein.<br>[Isoform 2]:<br> Cell membrane; Lipid-anchor, GPI- anchor.<br>[Isoform 3]:<br> Secreted<br><br>[Isoform 4]:<br> Secreted<br><br>[Isoform 5]:<br> Secreted<br><br>[Isoform 6]:<br> Cell membrane<br><br>[Isoform 7]:<br> Cell membrane<br>"
P08183,MDR1_HUMAN,ABCB1,Cell membrane<br> Apical cell membrane<br> Cytoplasm<br> Note=ABCB1 localization is influenced by C1orf115 expression levels (plasma membrane versus cytoplasm). Localized to the apical membrane of enterocytes (PubMed:28408210).<br>
P08185,CBG_HUMAN,SERPINA6,Secreted.
P08195,4F2_HUMAN,SLC3A2,"Apical cell membrane<br> Cell membrane<br> Cell junction<br> Lysosome membrane<br> Melanosome<br> Basolateral cell membrane<br> Note=Localized at the plasma membrane when associated with SLC7A5/LAT1 or SLC7A8/LAT2 (PubMed:9751058, PubMed:11311135). Localized to the apical membrane of placental syncytiotrophoblastic cells (PubMed:11742812). Recruited to lysosomes by LAPTM4B (PubMed:25998567). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Located selectively at cell-cell adhesion sites (By similarity). Colocalized with SLC7A8/LAT2 at the basolateral membrane of kidney proximal tubules and small intestine epithelia. Expressed in both luminal and abluminal membranes of brain capillary endothelial cells (By similarity).<br>"
P08217,CEL2A_HUMAN,CELA2A,Secreted<br>
P08218,CEL2B_HUMAN,CELA2B,Secreted.
P08235,MCR_HUMAN,NR3C2,"Cytoplasm. Nucleus. Endoplasmic reticulum membrane; Peripheral membrane protein. Note=Cytoplasmic and nuclear in the absence of ligand; nuclear after ligand-binding. When bound to HSD11B2, it is found associated with the endoplasmic reticulum membrane."
P08236,BGLR_HUMAN,GUSB,Lysosome.
P08237,PFKAM_HUMAN,PFKM,Cytoplasm<br>
P08238,HS90B_HUMAN,HSP90AB1,Cytoplasm<br> Melanosome<br> Nucleus<br> Secreted<br> Cell membrane<br> Dynein axonemal particle<br> Cell surface<br> Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Translocates with BIRC2 from the nucleus to the cytoplasm during differentiation (PubMed:18239673). Secreted when associated with TGFB1 processed form (LAP) (PubMed:20599762).<br>
P08240,SRPRA_HUMAN,SRPRA,"Endoplasmic reticulum membrane<br> Note=Thought to be anchored in the membrane through an interaction with SR-beta, which contains a bona fide transmembrane domain.<br>"
P08243,ASNS_HUMAN,ASNS,
P08246,ELNE_HUMAN,ELANE,"Cytoplasmic vesicle, phagosome<br> Note=Localized in phagolysosomes following ingestion of E.coli by neutrophils.<br>"
P08247,SYPH_HUMAN,SYP,"Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane<br> Synapse, synaptosome<br>"
P08253,MMP2_HUMAN,MMP2,"<br>[Isoform 1]:<br> Secreted, extracellular space, extracellular matrix<br> Membrane. Nucleus. Note=Colocalizes with integrin alphaV/beta3 at the membrane surface in angiogenic blood vessels and melanomas. Found in mitochondria, along microfibrils, and in nuclei of cardiomyocytes.<br>[Isoform 2]:<br> Cytoplasm. Mitochondrion."
P08254,MMP3_HUMAN,MMP3,"Secreted, extracellular space, extracellular matrix. Nucleus<br> Cytoplasm<br>"
P08263,GSTA1_HUMAN,GSTA1,Cytoplasm.
P08294,SODE_HUMAN,SOD3,"Secreted, extracellular space. Golgi apparatus, trans-Golgi network<br> Note=99% of EC-SOD is anchored to heparan sulfate proteoglycans in the tissue interstitium, and 1% is located in the vasculature in equilibrium between the plasma and the endothelium."
P08311,CATG_HUMAN,CTSG,"Cell membrane<br> Cytoplasmic granule<br> Secreted<br> Cytoplasm, cytosol<br> Lysosome<br> Nucleus<br> Note=Secreted by activated neutrophils (PubMed:3390156). Detected in synovial fluid (PubMed:32144329). Localizes to lysosomes in B cells where it is not endogenously synthesized but is internalized from the cell membrane (PubMed:15100291). Localizes to the nucleus during apoptosis (PubMed:11259672).<br>"
P08319,ADH4_HUMAN,ADH4,Cytoplasm.
P08397,HEM3_HUMAN,HMBS,Cytoplasm<br>
P08473,NEP_HUMAN,MME,Cell membrane<br>
P08476,INHBA_HUMAN,INHBA,Secreted.
P08493,MGP_HUMAN,MGP,Secreted.
P08514,ITA2B_HUMAN,ITGA2B,Membrane; Single-pass type I membrane protein.
P08519,APOA_HUMAN,LPA,
P08559,ODPA_HUMAN,PDHA1,Mitochondrion matrix.
P08567,PLEK_HUMAN,PLEK,
P08571,CD14_HUMAN,CD14,Cell membrane<br> Secreted<br> Membrane raft<br> Golgi apparatus<br> Note=Secreted forms may arise by cleavage of the GPI anchor.<br>
P08572,CO4A2_HUMAN,COL4A2,"Secreted, extracellular space, extracellular matrix, basement membrane."
P08574,CY1_HUMAN,CYC1,Mitochondrion inner membrane<br>
P08575,PTPRC_HUMAN,PTPRC,Cell membrane<br> Membrane raft<br> Note=Colocalized with DPP4 in membrane rafts.<br>
P08579,RU2B_HUMAN,SNRPB2,Nucleus<br>
P08581,MET_HUMAN,MET,Membrane; Single-pass type I membrane protein.<br>[Isoform 3]:<br> Secreted.
P08582,TRFM_HUMAN,MELTF,"<br>[Isoform 1]:<br> Cell membrane; Lipid-anchor, GPI- anchor."
P08588,ADRB1_HUMAN,ADRB1,Cell membrane<br> Early endosome. Note=Colocalizes with RAPGEF2 at the plasma membrane (By similarity). Localized at the plasma membrane. Found in the Golgi upon GOPC overexpression.<br>
P08590,MYL3_HUMAN,MYL3,
